,draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,roster_id,round,first_name,injury_status,last_name,news_updated,number,position,sport,status,team
37,863912024172847105,10,,38,605180610515898368,7553,4,3,Kyle,InjuryStatus.NA,Pitts,1661230229430,8,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.ATL
38,863912024172847105,11,,39,737782444484370432,5927,10,3,Terry,InjuryStatus.NA,McLaurin,1661702106989,17,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.WAS
39,863912024172847105,12,,40,605263942515773440,6819,7,3,Michael,InjuryStatus.NA,Pittman,1661664662301,11,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.IND
40,863912024172847105,13,,41,605175435638145024,7543,2,3,Travis,InjuryStatus.NA,Etienne,1661684104614,1,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.JAX
41,863912024172847105,14,,42,605266609971470336,5850,11,3,Josh,InjuryStatus.NA,Jacobs,1661571615308,28,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.LV
42,863912024172847105,14,,43,605266609971470336,5001,11,4,Dalton,InjuryStatus.NA,Schultz,1661535909727,86,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DAL
43,863912024172847105,13,,44,605175435638145024,5937,2,4,Diontae,InjuryStatus.QUESTIONABLE,Johnson,1661884229210,18,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.PIT
44,863912024172847105,12,,45,605263942515773440,5045,7,4,Courtland,InjuryStatus.NA,Sutton,1661647559671,14,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DEN
45,863912024172847105,11,,46,737782444484370432,8155,10,4,Breece,InjuryStatus.NA,Hall,1661772910024,20,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.NYJ
46,863912024172847105,10,,47,605180610515898368,4068,4,4,Mike,InjuryStatus.NA,Williams,1661761508243,81,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.LAC
47,863912024172847105,9,,48,605176209256583168,6806,3,4,J.K.,InjuryStatus.QUESTIONABLE,Dobbins,1661990141737,27,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.BAL
48,863912024172847105,8,,49,605254631701970944,6945,13,4,Antonio,InjuryStatus.NA,Gibson,1662052240178,24,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.WAS
49,863912024172847105,7,,50,869626839986032640,6783,8,4,Jerry,InjuryStatus.NA,Jeudy,1661647859648,10,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DEN
50,863912024172847105,6,,51,605445447401689088,4881,6,4,Lamar,InjuryStatus.NA,Jackson,1661470559769,8,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.BAL
51,863912024172847105,5,,52,618292946139164672,2505,12,4,Darren,InjuryStatus.QUESTIONABLE,Waller,1662147311186,83,NFLPosition.TE,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.LV
52,863912024172847105,4,,53,340485204214874112,2197,1,4,Brandin,InjuryStatus.NA,Cooks,1661460059977,13,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.HOU
53,863912024172847105,3,,54,605249638039109632,7526,5,4,Jaylen,InjuryStatus.QUESTIONABLE,Waddle,1662096946002,17,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.MIA
54,863912024172847105,2,,55,605279643485933568,6820,9,4,Clyde,InjuryStatus.NA,Edwards-Helaire,1662216921851,25,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.KC
55,863912024172847105,1,,56,455204806886158336,7561,14,4,Elijah,InjuryStatus.QUESTIONABLE,Mitchell,1661717108005,25,NFLPosition.RB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.SF
56,863912024172847105,1,,57,455204806886158336,7547,14,5,Amon-Ra,InjuryStatus.NA,St. Brown,1661750149621,14,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.DET
57,863912024172847105,2,,58,605279643485933568,1992,9,5,Allen,InjuryStatus.NA,Robinson,1661805653457,1,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.LAR
58,863912024172847105,3,,59,605249638039109632,5846,5,5,DK,InjuryStatus.NA,Metcalf,1661635258156,14,NFLPosition.WR,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.SEA
59,863912024172847105,4,,60,340485204214874112,5849,1,5,Kyler,InjuryStatus.NA,Murray,1661654461176,1,NFLPosition.QB,Sport.NFL,NFLPlayerStatus.ACTIVE,NFLTeam.ARI
