,adds,consenter_ids,created,creator,draft_picks,drops,roster_ids,settings,status,status_updated,transaction_id,type,waiver_budget,leg,metadata
70,{'5209': 14},[14],1664934954195,455204806886158336,[],{'8121': 14},[14],"TransactionSettings(seq=2, waiver_bid=11)",TransactionStatus.COMPLETE,1664953523700,883204847908970496,TransactionType.WAIVER,[],4,{'notes': 'Your waiver claim was processed successfully!'}
71,{'3294': 8},[8],1664928101343,869626839986032640,[],,[8],"TransactionSettings(seq=0, waiver_bid=30)",TransactionStatus.COMPLETE,1664953523700,883176104964341760,TransactionType.WAIVER,[],4,{'notes': 'Your waiver claim was processed successfully!'}
72,{'2152': 13},[13],1664922476810,605254631701970944,[],,[13],"TransactionSettings(seq=8, waiver_bid=0)",TransactionStatus.COMPLETE,1664953523700,883152513963237376,TransactionType.WAIVER,[],4,{'notes': 'Your waiver claim was processed successfully!'}
73,,[13],1664922442996,605254631701970944,[],{'8135': 13},[13],,TransactionStatus.COMPLETE,1664922442996,883152372137000960,TransactionType.FREE_AGENT,[],4,
74,{'7569': 13},[13],1664911035946,605254631701970944,[],{'5947': 13},[13],"TransactionSettings(seq=3, waiver_bid=0)",TransactionStatus.COMPLETE,1664953523700,883104527501414400,TransactionType.WAIVER,[],4,{'notes': 'Your waiver claim was processed successfully!'}
75,,[10],1664889768619,737782444484370432,[],{'4017': 10},[10],,TransactionStatus.COMPLETE,1664889768619,883015325862580224,TransactionType.FREE_AGENT,[],4,
76,{'JAX': 1},[1],1664883467181,340485204214874112,[],{'BAL': 1},[1],"TransactionSettings(seq=4, waiver_bid=0)",TransactionStatus.COMPLETE,1664953523700,882988895720116224,TransactionType.WAIVER,[],4,{'notes': 'Your waiver claim was processed successfully!'}
77,{'5209': 1},[1],1664757091775,340485204214874112,[],{'6659': 1},[1],"TransactionSettings(seq=0, waiver_bid=0)",TransactionStatus.FAILED,1664757923875,882458838849376256,TransactionType.WAIVER,[],4,{'notes': 'One of the players you are trying to drop has already started playing.'}
78,{'3423': 11},[11],1664748885506,605266609971470336,[],,[11],"TransactionSettings(seq=9, waiver_bid=0)",TransactionStatus.FAILED,1664953523700,882424419262619648,TransactionType.WAIVER,[],4,"{'notes': 'Unfortunately, your roster will have too many players after this transaction.'}"
79,{'5970': 11},[11],1664748868931,605266609971470336,[],,[11],"TransactionSettings(seq=5, waiver_bid=0)",TransactionStatus.COMPLETE,1664953523700,882424349742096384,TransactionType.WAIVER,[],4,{'notes': 'Your waiver claim was processed successfully!'}
80,{'6659': 1},[1],1664714100213,340485204214874112,[],,[1],,TransactionStatus.COMPLETE,1664714100213,882278519169187840,TransactionType.FREE_AGENT,[],4,
81,{'MIN': 3},[3],1664675340979,605176209256583168,[],{'4381': 3},[3],,TransactionStatus.COMPLETE,1664675340979,882115951158661120,TransactionType.FREE_AGENT,[],4,
82,{'2161': 3},[3],1664675263234,605176209256583168,[],,[3],,TransactionStatus.COMPLETE,1664675263234,882115625072545792,TransactionType.FREE_AGENT,[],4,
83,{'4171': 14},[14],1664655728361,455204806886158336,[],{'3423': 14},[14],,TransactionStatus.COMPLETE,1664655728361,882033689876566016,TransactionType.FREE_AGENT,[],4,
84,{'4080': 2},[2],1664595110195,605175435638145024,[],,[2],,TransactionStatus.COMPLETE,1664595110195,881779438860328960,TransactionType.FREE_AGENT,[],4,
85,{'503': 3},[3],1664546726422,605176209256583168,[],{'6219': 3},[3],,TransactionStatus.COMPLETE,1664546726422,881576502607712256,TransactionType.FREE_AGENT,[],4,
86,,[8],1664488979515,869626839986032640,[],{'5272': 8},[8],,TransactionStatus.COMPLETE,1664488979515,881334294525018112,TransactionType.FREE_AGENT,[],4,
87,{'4234': 5},[5],1664385467945,605249638039109632,[],,[5],,TransactionStatus.COMPLETE,1664385467945,880900135532834816,TransactionType.FREE_AGENT,[],4,
88,{'8121': 14},[14],1664369068596,455204806886158336,[],{'8228': 14},[14],,TransactionStatus.COMPLETE,1664369068596,880831351677591552,TransactionType.FREE_AGENT,[],4,
89,{'6219': 3},[3],1664368296105,605176209256583168,[],{'3678': 3},[3],,TransactionStatus.COMPLETE,1664368296105,880828111615553536,TransactionType.FREE_AGENT,[],4,
90,,[3],1664368072001,605176209256583168,[],{'1144': 3},[3],,TransactionStatus.COMPLETE,1664368072001,880827171655127040,TransactionType.FREE_AGENT,[],4,
91,{'PIT': 1},[1],1664364428973,340485204214874112,[],{'5549': 1},[1],,TransactionStatus.COMPLETE,1664364428973,880811891688325120,TransactionType.FREE_AGENT,[],4,
92,{'6931': 8},[8],1665551074932,869626839986032640,[],,[8],"TransactionSettings(seq=4, waiver_bid=5)",TransactionStatus.COMPLETE,1665558292051,885789045580607488,TransactionType.WAIVER,[],5,{'notes': 'Your waiver claim was processed successfully!'}
93,{'2747': 13},[13],1665548478880,605254631701970944,[],,[13],"TransactionSettings(seq=13, waiver_bid=0)",TransactionStatus.COMPLETE,1665558292051,885778156949241856,TransactionType.WAIVER,[],5,{'notes': 'Your waiver claim was processed successfully!'}
94,{'CHI': 14},[14],1665511071821,455204806886158336,[],{'TEN': 14},[14],"TransactionSettings(seq=12, waiver_bid=0)",TransactionStatus.COMPLETE,1665558292051,885621260372135936,TransactionType.WAIVER,[],5,{'notes': 'Your waiver claim was processed successfully!'}
95,{'7601': 11},[11],1665503492857,605266609971470336,[],{'7567': 11},[11],"TransactionSettings(seq=10, waiver_bid=0)",TransactionStatus.COMPLETE,1665558292051,885589471893258240,TransactionType.WAIVER,[],5,{'notes': 'Your waiver claim was processed successfully!'}
96,{'5947': 11},[11],1665503462946,605266609971470336,[],{'5970': 11},[11],"TransactionSettings(seq=5, waiver_bid=5)",TransactionStatus.FAILED,1665558292051,885589346437505024,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'}
97,{'59': 13},[13],1665502919090,605254631701970944,[],,[13],"TransactionSettings(seq=3, waiver_bid=6)",TransactionStatus.COMPLETE,1665558292051,885587065340125184,TransactionType.WAIVER,[],5,{'notes': 'Your waiver claim was processed successfully!'}
98,,[13],1665502867770,605254631701970944,[],{'7608': 13},[13],,TransactionStatus.COMPLETE,1665502867770,885586850088271872,TransactionType.FREE_AGENT,[],5,
99,{'59': 9},[9],1665502845457,605279643485933568,[],,[9],"TransactionSettings(seq=7, waiver_bid=0)",TransactionStatus.FAILED,1665558292051,885586756500787200,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'}
100,,[9],1665502822694,605279643485933568,[],{'8259': 9},[9],,TransactionStatus.COMPLETE,1665502822694,885586661025726464,TransactionType.FREE_AGENT,[],5,
101,{'1166': 3},[3],1665492427615,605176209256583168,[],{'MIN': 3},[3],"TransactionSettings(seq=8, waiver_bid=0)",TransactionStatus.FAILED,1665558292051,885543060904386560,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'}
102,{'1166': 13},[13],1665490240785,605254631701970944,[],,[13],"TransactionSettings(seq=0, waiver_bid=36)",TransactionStatus.COMPLETE,1665558292051,885533888674521088,TransactionType.WAIVER,[],5,{'notes': 'Your waiver claim was processed successfully!'}
103,,[13],1665490113638,605254631701970944,[],{'1234': 13},[13],,TransactionStatus.COMPLETE,1665490113638,885533355381309440,TransactionType.FREE_AGENT,[],5,
104,,[13],1665489944772,605254631701970944,[],{'2152': 13},[13],,TransactionStatus.COMPLETE,1665489944772,885532647106166784,TransactionType.FREE_AGENT,[],5,
105,{'5947': 2},[2],1665486682004,605175435638145024,[],{'4080': 2},[2],"TransactionSettings(seq=1, waiver_bid=26)",TransactionStatus.COMPLETE,1665558292051,885518962065154048,TransactionType.WAIVER,[],5,{'notes': 'Your waiver claim was processed successfully!'}
106,{'59': 14},[14],1665462129787,455204806886158336,[],{'1348': 14},[14],"TransactionSettings(seq=11, waiver_bid=0)",TransactionStatus.FAILED,1665558292051,885415982603149312,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'}
107,{'5947': 14},[14],1665462101196,455204806886158336,[],{'1352': 14},[14],"TransactionSettings(seq=6, waiver_bid=3)",TransactionStatus.FAILED,1665558292051,885415862683758592,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'}
108,{'4381': 6},[6],1665345971499,605445447401689088,[],,[6],"TransactionSettings(seq=2, waiver_bid=25)",TransactionStatus.COMPLETE,1665558292051,884928779431559168,TransactionType.WAIVER,[],5,{'notes': 'Your waiver claim was processed successfully!'}
109,{'6931': 1},[1],1665342880931,340485204214874112,[],{'1387': 1},[1],"TransactionSettings(seq=9, waiver_bid=0)",TransactionStatus.FAILED,1665558292051,884915816649547776,TransactionType.WAIVER,[],5,{'notes': 'This player was claimed by another owner.'}
110,{'8259': 9},[9],1665260976070,605279643485933568,[],,[9],,TransactionStatus.COMPLETE,1665260976070,884572282763505664,TransactionType.FREE_AGENT,[],5,
111,{'8121': 2},[2],1665245111673,605175435638145024,[],,[2],,TransactionStatus.COMPLETE,1665245111673,884505742659551232,TransactionType.FREE_AGENT,[],5,
112,,[9],1665242218190,605279643485933568,[],{'4195': 9},[9],,TransactionStatus.COMPLETE,1665242218190,884493606512201728,TransactionType.FREE_AGENT,[],5,
113,{'6951': 6},[6],1665238478374,605445447401689088,[],{'1166': 6},[6],,TransactionStatus.COMPLETE,1665238478374,884477920587014144,TransactionType.FREE_AGENT,[],5,
114,{'4066': 14},[14],1665179100215,455204806886158336,[],{'4381': 14},[14],,TransactionStatus.COMPLETE,1665179100215,884228870537187328,TransactionType.FREE_AGENT,[],5,
115,{'4080': 2},[2],1665100542709,605175435638145024,[],,[2],"TransactionSettings(seq=0, waiver_bid=0)",TransactionStatus.COMPLETE,1665251118226,883899376475734016,TransactionType.WAIVER,[],5,{'notes': 'Your waiver claim was processed successfully!'}
116,,[2],1665081801012,605175435638145024,[],{'4080': 2},[2],,TransactionStatus.COMPLETE,1665081801012,883820768100798464,TransactionType.FREE_AGENT,[],5,
117,{'5230': 4},[4],1665030777141,605180610515898368,[],{'17': 4},[4],,TransactionStatus.COMPLETE,1665030777141,883606758474575872,TransactionType.FREE_AGENT,[],5,
118,{'2307': 11},[11],1665003705248,605266609971470336,[],{'3242': 11},[11],,TransactionStatus.COMPLETE,1665003705248,883493210725691392,TransactionType.FREE_AGENT,[],5,
119,{'DEN': 6},[6],1665002270855,605445447401689088,[],{'CHI': 6},[6],,TransactionStatus.COMPLETE,1665002270855,883487194445197312,TransactionType.FREE_AGENT,[],5,
120,{'8137': 14},[14],1664995376060,455204806886158336,[],{'4171': 14},[14],,TransactionStatus.COMPLETE,1664995376060,883458275578941440,TransactionType.FREE_AGENT,[],5,
121,{'TEN': 14},[14],1664974061407,455204806886158336,[],{'CIN': 14},[14],,TransactionStatus.COMPLETE,1664974061407,883368875444649984,TransactionType.FREE_AGENT,[],5,
122,{'7741': 1},[1],1664969113104,340485204214874112,[],{'PIT': 1},[1],,TransactionStatus.COMPLETE,1664969113104,883348120757506048,TransactionType.FREE_AGENT,[],5,
123,,[1],1664969100727,340485204214874112,[],{'4951': 1},[1],,TransactionStatus.COMPLETE,1664969100727,883348068844650496,TransactionType.FREE_AGENT,[],5,
124,{'1433': 4},[4],1666147295003,605180610515898368,[],{'4195': 4},[4],"TransactionSettings(seq=4, waiver_bid=0)",TransactionStatus.COMPLETE,1666163096289,888289773809278976,TransactionType.WAIVER,[],6,{'notes': 'Your waiver claim was processed successfully!'}
125,{'1837': 10},[10],1666123881958,737782444484370432,[],,[10],"TransactionSettings(seq=0, waiver_bid=20)",TransactionStatus.COMPLETE,1666163096289,888191572381155328,TransactionType.WAIVER,[],6,{'notes': 'Your waiver claim was processed successfully!'}
126,{'1837': 2},[2],1666099212697,605175435638145024,[],{'4197': 2},[2],"TransactionSettings(seq=2, waiver_bid=6)",TransactionStatus.FAILED,1666163096289,888088102000832512,TransactionType.WAIVER,[],6,{'notes': 'This player was claimed by another owner.'}
