,player_id,player_display_name,position,season,carries,rushing_yards,rushing_tds,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,fantasy_points_ppr,interceptions,sack_fumbles,sack_fumbles_lost,rushing_fumbles,rushing_fumbles_lost,receiving_fumbles,receiving_fumbles_lost,passing_yards,passing_tds,passing_2pt_conversions,receiving_2pt_conversions,gsis_id,sleeper_id
145,00-0033455,Anthony Firkser,TE,10110,0,0.0,0,0.0,0,6,7,79.0,0,63.0,20.0,4.0,4.274590866925336,13.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033455,4435
146,00-0033466,Isaiah McKenzie,WR,24264,8,49.0,1,3.0,0,38,55,380.0,4,383.0,121.0,24.0,15.991128703202252,110.9,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033466,4197
147,00-0033526,Samaje Perine,RB,26286,78,349.0,2,18.0,0,33,45,264.0,4,5.0,297.0,11.0,7.623791106390064,130.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033526,4147
148,00-0033536,Mike Williams,WR,18198,0,0.0,0,0.0,0,44,66,626.0,4,793.0,221.0,26.0,24.98647177153682,130.6,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033536,4068
149,00-0033537,Deshaun Watson,QB,4044,13,54.0,0,4.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,21.68,2.0,0,0,0.0,0.0,0.0,0.0,407.0,1,0,0,00-0033537,4017
150,00-0033553,James Conner,RB,20220,136,561.0,5,36.0,0,33,42,200.0,1,-26.0,254.0,7.0,-5.085525572010884,143.1,0.0,0,0,3.0,1.0,0.0,0.0,0.0,0,0,0,00-0033553,4137
151,00-0033555,Mack Hollins,WR,26286,4,40.0,0,2.0,0,47,77,588.0,3,935.0,165.0,27.0,28.487129273095498,127.96000000000001,0.0,0,0,0.0,0.0,0.0,0.0,4.0,0,0,0,00-0033555,4177
152,00-0033572,Jamal Agnew,WR,20220,7,40.0,0,3.0,0,18,24,155.0,3,166.0,91.0,9.0,7.965692081586058,57.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,00-0033572,4198
153,00-0033576,Eric Saubert,TE,18198,0,0.0,0,0.0,0,11,19,113.0,1,162.0,56.0,4.0,-0.22457219306026555,28.3,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033576,4189
154,00-0033591,Noah Brown,WR,22242,0,0.0,0,0.0,0,34,53,484.0,1,588.0,104.0,20.0,11.626196695173203,86.4,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0,0,0,00-0033591,4234
155,00-0033633,Tanner Gentry,WR,2022,0,0.0,0,0.0,0,0,1,0.0,0,7.0,0.0,0.0,-0.7896298202686012,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033633,4551
156,00-0033662,Cooper Rush,QB,14154,9,6.0,0,1.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,56.64,3.0,2,0,0.0,0.0,0.0,0.0,1051.0,5,0,0,00-0033662,4574
157,00-0033681,Keelan Cole,WR,12132,0,0.0,0,0.0,0,7,16,86.0,0,264.0,17.0,6.0,1.7386233683209866,15.600000000000001,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,00-0033681,4622
