added_player_name,creator,faab_spent,points_as_starter,created,drops_named,points_as_starter_by_week,weeks_started,leg
Darnell Mooney,phan497,0,28.0,[1665685367400],[{'Minnesota Vikings': 'phan497'}],"[10.3, 6.8, 10.9]","[6, 7, 11]",[6]
Seattle Seahawks,niclath95,0,28.0,[1667144008720],[{'Allen Robinson': 'niclath95'}],"[14.0, 9.0, 4.0, 1.0]","[8, 9, 10, 14]",[8]
Matt Prater,andyhan4,0,27.0,[1667329088008],[{'Brandon McManus': 'andyhan4'}],"[1.0, 1.0, 14.0, 8.0, 3.0]","[1, 2, 3, 4, 9]",[8]
Tennessee Titans,llatham65,0,27.0,"[1666916412202, 1667986239830]","[{'New York Jets': 'llatham65'}, {'Arizona Cardinals': 'llatham65'}]","[9.0, 13.0, 5.0]","[8, 10, 11]","[8, 10]"
Joey Slye,phan497,0,27.0,[1668812400417],[{'Odell Beckham': 'phan497'}],"[12.0, 7.0, 8.0]","[11, 12, 13]",[11]
Cincinnati Bengals,mattlatham,0,27.0,[1663764742850],[{'Indianapolis Colts': 'mattlatham'}],"[19.0, 8.0]","[3, 4]",[3]
Dak Prescott,jakesmyth,30,26.4,[1664928101343],[None],[26.4],[8],[4]
Denver Broncos,julesdefwatchesftbll,0,25.0,[1665002270855],[{'Chicago Bears': 'julesdefwatchesftbll'}],"[8.0, 17.0]","[1, 5]",[5]
Chase McLaughlin,lauramarkey,0,25.0,[1668098818953],[{'Juwan Johnson': 'lauramarkey'}],"[8.0, 11.0, 6.0]","[10, 11, 12]",[10]
Rondale Moore,lauramarkey,0,24.8,[1665503492857],[{'Kenneth Gainwell': 'lauramarkey'}],"[10.9, 13.9]","[9, 10]",[5]
George Pickens,mattlatham,0,24.8,[1664995376060],[{'Josh Reynolds': 'mattlatham'}],"[11.3, 4.3, 9.2]","[5, 6, 12]",[5]
Treylon Burks,niclath95,6,24.0,[1669120392169],[None],"[15.0, 9.0]","[12, 13]",[11]
Kenyan Drake,llatham65,0,23.9,[1667389739530],[{'Odell Beckham': 'llatham65'}],[23.9],[9],[9]
Greg Dulcich,mattlatham,0,23.8,"[1667999164035, 1668697779538, 1669826107874]","[{'Kadarius Toney': 'mattlatham'}, {'Isaiah Likely': 'mattlatham'}, None]","[1.6, 5.0, 11.5, 5.7]","[10, 11, 13, 14]","[10, 11, 13]"
Deshaun Watson,andyhan4,0,23.68,[1668530663193],[{'Tyler Conklin': 'andyhan4'}],"[6.34, 17.34]","[13, 14]",[10]
Deon Jackson,carlogesualdo,0,23.1,[1665853181126],[None],[23.1],[6],[6]
Allen Robinson,emilyhan,0,23.0,[1667750954937],[{'Skyy Moore': 'emilyhan'}],"[3.9, 6.4, 12.7]","[9, 10, 11]",[9]
